<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	43 	7159 	: 	4112.05 	61.6602 	; 
	43 	9506 	: 	0 	inf 	; 
	43 	14419 	: 	0 	inf 	; 
	43 	14420 	: 	0 	209.443 	; 
	44 	4057 	: 	0 	inf 	; 
	44 	7528 	: 	0 	inf 	; 
	44 	7799 	: 	24310.3 	219.352 	; 
	44 	14431 	: 	0 	inf 	; 
	44 	14432 	: 	321.333 	217.73 	; 
	44 	14433 	: 	0 	inf 	; 
	44 	14434 	: 	132 	515.871 	; 
	45 	1616 	: 	0 	inf 	; 
	45 	8739 	: 	0 	inf 	; 
	45 	9558 	: 	22116.9 	241.282 	; 
	46 	2979 	: 	3083.95 	25.2139 	; 
	46 	8221 	: 	19033 	26.0112 	; 
	46 	9562 	: 	0 	inf 	; 
	47 	4865 	: 	0 	inf 	; 
	47 	6270 	: 	15110.5 	87.24 	; 
	47 	13283 	: 	0 	inf 	; 
	47 	13284 	: 	686.667 	137.847 	; 
	48 	8239 	: 	0 	2.77694 	; 
	48 	9795 	: 	0 	121.367 	; 
	49 	5463 	: 	0 	inf 	; 
	49 	5464 	: 	18991.8 	169.862 	; 
	49 	12695 	: 	0 	inf 	; 
	49 	12696 	: 	21.3333 	79.3833 	; 
	50 	594 	: 	12696 	1495.35 	; 
	50 	6354 	: 	0 	inf 	; 
	50 	12301 	: 	0 	inf 	; 
	50 	12302 	: 	47.3333 	297.501 	; 
	50 	12303 	: 	0 	inf 	; 
	50 	12304 	: 	12.6667 	323.721 	; 
	50 	12305 	: 	0 	inf 	; 
	50 	12306 	: 	11.3333 	178.652 	; 
	51 	5298 	: 	5386 	427.786 	; 
	51 	5365 	: 	0 	inf 	; 
	51 	12727 	: 	0 	inf 	; 
	51 	12728 	: 	7.33333 	135.703 	; 
	51 	12741 	: 	0 	inf 	; 
	51 	12742 	: 	110.667 	58.4228 	; 
	51 	12743 	: 	0 	inf 	; 
	51 	12744 	: 	109.333 	143.035 	; 
	52 	186 	: 	2315.58 	17.8187 	; 
	52 	3359 	: 	0 	inf 	; 
	53 	5424 	: 	0 	inf 	; 
	53 	5426 	: 	1613.53 	2.48987 	; 
	54 	299 	: 	92 	15.787 	; 
	54 	856 	: 	0 	inf 	; 
	55 	4029 	: 	0 	inf 	; 
	55 	5413 	: 	9198.55 	26.626 	; 
	56 	5934 	: 	0 	inf 	; 
	56 	7709 	: 	18112 	7.89995 	; 
	56 	13817 	: 	0 	inf 	; 
	56 	13818 	: 	850.667 	70.5389 	; 
	57 	468 	: 	17796.6 	4.23442 	; 
	57 	3354 	: 	0 	inf 	; 
	58 	2782 	: 	0 	inf 	; 
	58 	5237 	: 	4102 	1.80392 	; 
	59 	1884 	: 	10952.1 	21.2395 	; 
	59 	9025 	: 	0 	inf 	; 
	59 	12389 	: 	0 	inf 	; 
	59 	12390 	: 	1200.67 	114.044 	; 
	60 	2218 	: 	0 	inf 	; 
	60 	9256 	: 	2059.39 	3.57437 	; 
	61 	639 	: 	0 	inf 	; 
	61 	5033 	: 	4462.67 	19.1355 	; 
	62 	1083 	: 	20504.7 	160.369 	; 
	62 	5346 	: 	0 	inf 	; 
	62 	9585 	: 	0 	inf 	; 
	63 	5332 	: 	4421.33 	5.49281 	; 
	63 	5914 	: 	0 	inf 	; 
	64 	3350 	: 	0 	inf 	; 
	64 	6272 	: 	4702.69 	37.5323 	; 
	64 	11178 	: 	9112.64 	19.1691 	; 
	65 	7890 	: 	12852.2 	93.8647 	; 
	65 	10471 	: 	0 	inf 	; 
	66 	1010 	: 	0 	123.955 	; 
	66 	11121 	: 	0 	inf 	; 
	67 	1333 	: 	0 	inf 	; 
	67 	1336 	: 	0 	6.5614 	; 
	68 	940 	: 	0 	inf 	; 
	68 	1239 	: 	0 	inf 	; 
