<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	2682 	1269 	: 	0 	inf 	; 
	2682 	2574 	: 	8141.33 	213.989 	; 
	2683 	883 	: 	1450.67 	3.00231 	; 
	2683 	7763 	: 	0 	inf 	; 
	2684 	1277 	: 	0 	inf 	; 
	2684 	8547 	: 	15958 	881.259 	; 
	2684 	14307 	: 	0 	inf 	; 
	2684 	14308 	: 	304.667 	791.377 	; 
	2684 	14313 	: 	0 	inf 	; 
	2684 	14314 	: 	88.6667 	462.77 	; 
	2684 	14317 	: 	0 	inf 	; 
	2684 	14318 	: 	1136 	322.699 	; 
	2684 	14323 	: 	0 	inf 	; 
	2684 	14324 	: 	283.333 	53.4046 	; 
	2684 	14325 	: 	0 	inf 	; 
	2684 	14326 	: 	522 	134.252 	; 
	2685 	1689 	: 	590 	26.1088 	; 
	2685 	8315 	: 	0 	inf 	; 
	2686 	3195 	: 	0 	inf 	; 
	2686 	3721 	: 	876.667 	23.7192 	; 
	2687 	2991 	: 	0 	inf 	; 
	2687 	7873 	: 	0 	1.53209 	; 
	2688 	2689 	: 	0 	inf 	; 
	2688 	8690 	: 	14962 	84.647 	; 
	2688 	14295 	: 	0 	inf 	; 
	2688 	14296 	: 	0 	432.587 	; 
	2688 	14297 	: 	0 	inf 	; 
	2688 	14298 	: 	448.667 	410.818 	; 
	2688 	14301 	: 	0 	inf 	; 
	2688 	14302 	: 	1100.67 	789.477 	; 
	2689 	2688 	: 	16511.3 	77.7111 	; 
	2689 	7414 	: 	0 	inf 	; 
	2689 	8547 	: 	0 	inf 	; 
	2689 	14295 	: 	0 	inf 	; 
	2689 	14296 	: 	2685.33 	431.793 	; 
	2690 	141 	: 	7104.67 	163.882 	; 
	2690 	6618 	: 	0 	inf 	; 
	2690 	13745 	: 	0 	inf 	; 
	2690 	13746 	: 	0 	474.64 	; 
	2691 	5111 	: 	3388.02 	3.74925 	; 
	2691 	9488 	: 	4473.33 	4.07578 	; 
	2691 	12009 	: 	0 	inf 	; 
	2691 	12010 	: 	0.666667 	98.7171 	; 
	2692 	3106 	: 	638 	2.71233 	; 
	2692 	5913 	: 	0 	inf 	; 
	2693 	2197 	: 	20524 	4309.44 	; 
	2693 	9507 	: 	0 	inf 	; 
	2693 	9509 	: 	0 	inf 	; 
	2693 	14239 	: 	0 	inf 	; 
	2693 	14240 	: 	618 	153.605 	; 
	2694 	6141 	: 	0 	11.1683 	; 
	2694 	6288 	: 	0 	inf 	; 
	2695 	6632 	: 	0 	1.07291 	; 
	2695 	9397 	: 	0 	inf 	; 
	2696 	961 	: 	0 	inf 	; 
	2696 	1454 	: 	5554.67 	4.29399 	; 
	2697 	5967 	: 	18941.5 	69.333 	; 
	2697 	9265 	: 	0 	inf 	; 
	2698 	1194 	: 	0 	1.41833 	; 
	2698 	3686 	: 	0 	inf 	; 
	2699 	9634 	: 	0 	inf 	; 
	2699 	10185 	: 	0 	35.0802 	; 
	2700 	1177 	: 	10451.7 	5.5177 	; 
	2700 	8851 	: 	0 	inf 	; 
	2701 	8264 	: 	12283.4 	12.4087 	; 
	2701 	8655 	: 	0 	inf 	; 
	2702 	7137 	: 	0 	inf 	; 
	2702 	8587 	: 	11547.6 	28.3013 	; 
	2702 	13329 	: 	0 	inf 	; 
	2702 	13330 	: 	82.6667 	208.085 	; 
	2702 	13331 	: 	0 	inf 	; 
	2702 	13332 	: 	18 	200.536 	; 
	2702 	13333 	: 	0 	inf 	; 
	2702 	13334 	: 	89.3333 	107.609 	; 
	2702 	13335 	: 	0 	inf 	; 
	2702 	13336 	: 	170.667 	45.1826 	; 
	2702 	13353 	: 	0 	inf 	; 
	2702 	13354 	: 	18 	282.168 	; 
	2703 	2953 	: 	10861.3 	64.1068 	; 
	2703 	4436 	: 	0 	inf 	; 
	2703 	13679 	: 	0 	inf 	; 
	2703 	13680 	: 	19.3333 	31.3241 	; 
	2703 	13723 	: 	0 	inf 	; 
	2703 	13724 	: 	62.6667 	130.317 	; 
	2704 	7065 	: 	2462.12 	26.5802 	; 
	2704 	10502 	: 	0 	inf 	; 
	2705 	2859 	: 	0 	inf 	; 
	2705 	6452 	: 	4920.67 	10.3917 	; 
	2706 	2215 	: 	3308.67 	1.44664 	; 
	2706 	11305 	: 	0 	inf 	; 
	2707 	2454 	: 	0 	inf 	; 
	2707 	6524 	: 	9918 	35.8035 	; 
	2708 	3799 	: 	0 	inf 	; 
	2708 	5683 	: 	0 	2.09422 	; 
	2709 	4135 	: 	0 	inf 	; 
	2709 	7817 	: 	5262.86 	1.25119 	; 
	2710 	4247 	: 	4050.67 	7.18009 	; 
	2710 	7817 	: 	0 	inf 	; 
	2710 	9390 	: 	0 	inf 	; 
	2710 	10042 	: 	5644.86 	1.6507 	; 
	2711 	3338 	: 	0 	inf 	; 
	2711 	9093 	: 	2760.93 	41.0264 	; 
	2711 	12761 	: 	0 	inf 	; 
	2711 	12762 	: 	10 	44.1302 	; 
	2712 	4005 	: 	10191.6 	17.3366 	; 
	2712 	6097 	: 	0 	inf 	; 
	2713 	4932 	: 	15538.3 	278.03 	; 
	2713 	8281 	: 	0 	inf 	; 
	2714 	7600 	: 	10918.9 	10.7637 	; 
	2714 	8711 	: 	0 	inf 	; 
	2714 	14059 	: 	0 	inf 	; 
	2714 	14060 	: 	0 	94.1062 	; 
	2715 	8010 	: 	0 	31.8941 	; 
	2715 	11546 	: 	0 	inf 	; 
	2716 	487 	: 	0 	5.41977 	; 
	2716 	6358 	: 	0 	inf 	; 
	2717 	2144 	: 	9673.33 	13.8138 	; 
	2717 	9970 	: 	0 	inf 	; 
	2718 	944 	: 	10259 	6.78134 	; 
	2718 	7043 	: 	0 	inf 	; 
	2718 	12061 	: 	0 	inf 	; 
	2718 	12062 	: 	126 	139.685 	; 
	2719 	2721 	: 	0 	3.1554 	; 
	2719 	6892 	: 	0 	10.2242 	; 
	2719 	11151 	: 	92 	6.00816 	; 
	2720 	1437 	: 	0 	inf 	; 
	2720 	1439 	: 	2762.34 	39.6767 	; 
	2720 	12763 	: 	0 	inf 	; 
	2720 	12764 	: 	126.667 	95.5313 	; 
	2720 	12829 	: 	0 	inf 	; 
	2720 	12830 	: 	32.6667 	419.823 	; 
	2720 	12831 	: 	0 	inf 	; 
	2720 	12832 	: 	19.3333 	288.124 	; 
	2720 	12835 	: 	0 	inf 	; 
	2720 	12836 	: 	184 	107.717 	; 
	2721 	931 	: 	0 	9.16926 	; 
	2721 	2719 	: 	0 	3.1554 	; 
	2721 	7126 	: 	0 	inf 	; 
	2722 	1198 	: 	0 	inf 	; 
	2722 	9382 	: 	18338.1 	5.94046 	; 
	2723 	2383 	: 	0 	inf 	; 
	2723 	6639 	: 	0 	inf 	; 
	2723 	8855 	: 	10348 	27.1108 	; 
	2724 	2016 	: 	0 	inf 	; 
	2724 	6106 	: 	14120.2 	21.0261 	; 
	2725 	3463 	: 	0 	inf 	; 
	2725 	7585 	: 	11720.5 	12.3641 	; 
	2725 	7704 	: 	0 	inf 	; 
	2726 	1725 	: 	0 	inf 	; 
	2726 	2329 	: 	4463.33 	38.4383 	; 
	2727 	3118 	: 	4440.67 	281.504 	; 
	2727 	11571 	: 	0 	inf 	; 
	2728 	9947 	: 	920.694 	28.2186 	; 
	2728 	11549 	: 	0 	inf 	; 
	2729 	103 	: 	15538.3 	18.2179 	; 
	2729 	8317 	: 	0 	inf 	; 
	2729 	13259 	: 	0 	inf 	; 
	2729 	13260 	: 	250 	270.538 	; 
	2730 	1918 	: 	0 	15.4793 	; 
	2730 	2388 	: 	0 	inf 	; 
	2730 	2787 	: 	0 	10.7931 	; 
	2731 	3415 	: 	9099.58 	24.1033 	; 
	2731 	8883 	: 	938.14 	19.4167 	; 
	2731 	8984 	: 	0 	inf 	; 
	2731 	13051 	: 	0 	inf 	; 
	2731 	13052 	: 	1342 	370.907 	; 
	2732 	2735 	: 	0 	inf 	; 
	2732 	4184 	: 	13514.9 	113.903 	; 
	2732 	14459 	: 	0 	inf 	; 
	2732 	14460 	: 	85.3333 	308.473 	; 
	2733 	676 	: 	13403.2 	33.613 	; 
	2733 	9611 	: 	0 	inf 	; 
	2734 	2603 	: 	3857.33 	3.14665 	; 
	2734 	9843 	: 	0 	inf 	; 
	2734 	12619 	: 	0 	inf 	; 
	2734 	12620 	: 	0 	309.919 	; 
	2734 	12621 	: 	0 	inf 	; 
	2734 	12622 	: 	0 	124.253 	; 
	2735 	959 	: 	0 	inf 	; 
	2735 	2177 	: 	0 	inf 	; 
	2735 	2732 	: 	12910.2 	19.7716 	; 
	2735 	14459 	: 	0 	inf 	; 
	2735 	14460 	: 	0 	313.797 	; 
	2736 	5729 	: 	0 	24.7318 	; 
	2736 	6501 	: 	0 	inf 	; 
	2737 	5821 	: 	0 	inf 	; 
	2737 	5875 	: 	4058.67 	158.424 	; 
	2737 	12727 	: 	0 	inf 	; 
	2737 	12728 	: 	157.333 	155.284 	; 
	2738 	3099 	: 	0 	inf 	; 
	2738 	8063 	: 	92 	21.8496 	; 
	2739 	3135 	: 	0 	inf 	; 
	2739 	10662 	: 	92 	35.522 	; 
	2740 	1676 	: 	0 	inf 	; 
	2740 	10174 	: 	15708.8 	124.624 	; 
	2740 	11921 	: 	0 	inf 	; 
	2740 	11922 	: 	164.667 	130.416 	; 
	2740 	11923 	: 	0 	inf 	; 
	2740 	11924 	: 	107.333 	46.9192 	; 
	2740 	11927 	: 	0 	inf 	; 
	2740 	11928 	: 	96.6667 	188.401 	; 
	2741 	730 	: 	3274.61 	1.11763 	; 
	2741 	5314 	: 	0 	inf 	; 
	2742 	5156 	: 	8221.33 	6.12227 	; 
	2742 	9553 	: 	0 	17.9932 	; 
	2742 	9600 	: 	0 	inf 	; 
	2742 	12461 	: 	0 	inf 	; 
	2742 	12462 	: 	437.333 	71.1795 	; 
	2743 	2744 	: 	0 	inf 	; 
	2743 	3380 	: 	92 	96.1175 	; 
	2744 	2743 	: 	92 	12.3141 	; 
	2744 	3377 	: 	0 	inf 	; 
	2744 	11326 	: 	0 	inf 	; 
	2745 	2752 	: 	0 	4.68223 	; 
	2745 	8748 	: 	0 	19.0321 	; 
	2746 	2747 	: 	0 	inf 	; 
	2746 	8676 	: 	7982.03 	32.3428 	; 
	2747 	2746 	: 	7982.03 	9.06378 	; 
	2747 	3306 	: 	0 	inf 	; 
	2748 	5880 	: 	0 	1.15994 	; 
	2748 	7013 	: 	0 	inf 	; 
	2749 	4771 	: 	6162.84 	5.01764 	; 
	2749 	11340 	: 	0 	inf 	; 
	2750 	4656 	: 	0 	0.706746 	; 
	2750 	4671 	: 	0 	inf 	; 
	2750 	5180 	: 	0 	6.48322 	; 
	2750 	7795 	: 	0 	inf 	; 
	2751 	4139 	: 	0 	inf 	; 
	2751 	10095 	: 	6810.79 	14.6842 	; 
	2751 	12669 	: 	0 	inf 	; 
	2751 	12670 	: 	776.667 	148.626 	; 
	2752 	2745 	: 	0 	4.68223 	; 
	2753 	1073 	: 	0 	inf 	; 
	2753 	6211 	: 	2780.03 	7.39073 	; 
	2754 	2193 	: 	0 	inf 	; 
	2754 	6090 	: 	15955.7 	38.3541 	; 
	2754 	7273 	: 	0 	inf 	; 
	2755 	2323 	: 	0 	inf 	; 
	2755 	3933 	: 	0 	inf 	; 
	2755 	8611 	: 	16273.1 	63.0918 	; 
	2756 	6485 	: 	0 	inf 	; 
	2756 	10999 	: 	6012.22 	198.088 	; 
	2757 	2759 	: 	0 	inf 	; 
	2757 	2761 	: 	2887.33 	16.2198 	; 
	2758 	4822 	: 	0 	1.94598 	; 
	2758 	7527 	: 	0 	inf 	; 
	2759 	2757 	: 	2887.33 	2.02037 	; 
	2759 	4811 	: 	0 	inf 	; 
	2760 	2761 	: 	0 	inf 	; 
	2760 	8753 	: 	2887.33 	1.73755 	; 
	2761 	2757 	: 	0 	inf 	; 
	2761 	2760 	: 	2887.33 	14.5284 	; 
	2761 	3203 	: 	0 	33.0635 	; 
	2762 	5587 	: 	17408.3 	99.3801 	; 
	2762 	5878 	: 	0 	inf 	; 
	2762 	12051 	: 	0 	inf 	; 
	2762 	12052 	: 	468.667 	67.7069 	; 
	2763 	638 	: 	0 	inf 	; 
	2763 	1342 	: 	7601.14 	4.51112 	; 
	2764 	4844 	: 	0 	inf 	; 
	2764 	10139 	: 	12114.4 	219.589 	; 
	2765 	301 	: 	0 	inf 	; 
	2765 	4348 	: 	1552.67 	1.56013 	; 
	2766 	1520 	: 	0 	inf 	; 
	2766 	8002 	: 	6514.82 	97.7179 	; 
	2766 	8760 	: 	0 	inf 	; 
	2767 	1170 	: 	0 	inf 	; 
	2767 	5659 	: 	92 	9.0899 	; 
	2768 	2113 	: 	4577.41 	25.3315 	; 
	2768 	4268 	: 	0 	7.53525 	; 
	2769 	8325 	: 	0 	inf 	; 
	2769 	9782 	: 	92 	58.6456 	; 
	2770 	5866 	: 	0 	inf 	; 
	2770 	5911 	: 	3308.67 	15.82 	; 
	2771 	3973 	: 	0 	inf 	; 
	2771 	11315 	: 	17713.5 	134.55 	; 
	2771 	12287 	: 	0 	inf 	; 
	2771 	12288 	: 	0 	127.151 	; 
	2771 	12289 	: 	0 	inf 	; 
	2771 	12290 	: 	0 	346.187 	; 
	2772 	69 	: 	4421.33 	1.16901 	; 
	2772 	4368 	: 	6091.08 	150.476 	; 
	2772 	8360 	: 	0 	inf 	; 
	2773 	6316 	: 	10472.6 	2.65771 	; 
	2773 	9267 	: 	0 	inf 	; 
	2774 	2676 	: 	4729.31 	105.386 	; 
	2774 	3784 	: 	8771.13 	9.75218 	; 
	2774 	3894 	: 	0 	inf 	; 
	2774 	12787 	: 	0 	inf 	; 
	2774 	12788 	: 	126.667 	130.294 	; 
	2774 	12805 	: 	0 	inf 	; 
	2774 	12806 	: 	229.333 	78.6199 	; 
	2774 	12807 	: 	0 	inf 	; 
	2774 	12808 	: 	113.333 	273.176 	; 
	2775 	4888 	: 	0 	inf 	; 
	2775 	11014 	: 	0 	inf 	; 
	2775 	11069 	: 	0 	24.2583 	; 
	2776 	3720 	: 	0 	inf 	; 
	2776 	5093 	: 	10046.9 	24.5111 	; 
	2777 	7947 	: 	21905.4 	427.988 	; 
	2777 	8364 	: 	0 	inf 	; 
	2777 	11913 	: 	0 	inf 	; 
	2777 	11914 	: 	0 	246.392 	; 
	2777 	11937 	: 	0 	inf 	; 
	2777 	11938 	: 	26.6667 	295.623 	; 
	2777 	11943 	: 	0 	inf 	; 
	2777 	11944 	: 	230.667 	133.412 	; 
	2778 	6535 	: 	0 	inf 	; 
	2778 	6540 	: 	5302.67 	4.19134 	; 
	2778 	12497 	: 	0 	inf 	; 
	2778 	12498 	: 	0 	54.6833 	; 
	2779 	5018 	: 	0 	inf 	; 
	2779 	5226 	: 	2176.38 	3.14915 	; 
	2779 	13815 	: 	0 	inf 	; 
	2779 	13816 	: 	0 	157.536 	; 
	2780 	401 	: 	0 	inf 	; 
	2780 	8776 	: 	8444.67 	438.918 	; 
	2781 	4341 	: 	10992 	19.9621 	; 
	2781 	10536 	: 	0 	inf 	; 
	2782 	58 	: 	4102 	3.06279 	; 
	2782 	3341 	: 	0 	inf 	; 
	2783 	8198 	: 	1460.67 	12.4276 	; 
	2783 	8953 	: 	0 	inf 	; 
	2784 	5655 	: 	0 	2.58794 	; 
	2784 	5656 	: 	0 	2.75927 	; 
	2784 	9536 	: 	0 	8.30434 	; 
	2785 	640 	: 	4327.33 	6.22293 	; 
	2785 	2603 	: 	0 	inf 	; 
	2785 	12933 	: 	0 	inf 	; 
	2785 	12934 	: 	132 	96.1533 	; 
	2786 	8027 	: 	0 	inf 	; 
	2786 	10481 	: 	0 	23.09 	; 
	2787 	2730 	: 	0 	inf 	; 
	2787 	4003 	: 	0 	68.064 	; 
	2787 	9616 	: 	0 	21.9653 	; 
	2788 	2377 	: 	0 	17.3195 	; 
	2788 	3182 	: 	0 	9.76123 	; 
	2788 	3189 	: 	0 	inf 	; 
	2789 	9561 	: 	0 	inf 	; 
	2789 	11019 	: 	14415.6 	82.5469 	; 
	2789 	12507 	: 	0 	inf 	; 
	2789 	12508 	: 	264.667 	71.2966 	; 
	2789 	12639 	: 	0 	inf 	; 
	2789 	12640 	: 	976.667 	122.66 	; 
	2790 	4240 	: 	5075.34 	0.797366 	; 
	2790 	6448 	: 	0 	inf 	; 
	2791 	3491 	: 	0 	inf 	; 
	2791 	6421 	: 	0 	inf 	; 
	2791 	7036 	: 	0 	1.33154 	; 
	2791 	8115 	: 	4810.67 	0.429592 	; 
	2792 	708 	: 	25855 	33.4829 	; 
	2792 	5212 	: 	0 	inf 	; 
	2793 	2545 	: 	0 	inf 	; 
	2793 	7010 	: 	4278.22 	4.86246 	; 
	2793 	12031 	: 	0 	inf 	; 
	2793 	12032 	: 	0 	129.009 	; 
	2794 	3454 	: 	4500.67 	15.8069 	; 
	2794 	5956 	: 	2568.02 	7.63118 	; 
	2795 	11 	: 	0 	inf 	; 
	2795 	9729 	: 	0 	6.89643 	; 
	2796 	5878 	: 	17315.7 	88.5193 	; 
	2796 	9271 	: 	0 	inf 	; 
	2796 	12065 	: 	0 	inf 	; 
	2796 	12066 	: 	0 	264.676 	; 
	2796 	12067 	: 	0 	inf 	; 
	2796 	12068 	: 	0 	99.3234 	; 
	2797 	5532 	: 	8939.33 	5.81155 	; 
	2797 	5944 	: 	0 	inf 	; 
	2797 	12713 	: 	0 	inf 	; 
	2797 	12714 	: 	8 	113.371 	; 
	2797 	12911 	: 	0 	inf 	; 
	2797 	12912 	: 	614.667 	165.98 	; 
	2798 	2190 	: 	0 	inf 	; 
	2798 	10164 	: 	8551.63 	120.062 	; 
	2799 	4007 	: 	7122.56 	24.446 	; 
	2799 	7545 	: 	0 	inf 	; 
	2800 	5759 	: 	0 	inf 	; 
	2800 	9209 	: 	6998 	146.808 	; 
	2800 	14047 	: 	0 	inf 	; 
	2800 	14048 	: 	57.3333 	241.621 	; 
	2801 	7991 	: 	0 	inf 	; 
	2801 	9573 	: 	6767.65 	126.212 	; 
	2801 	14047 	: 	0 	inf 	; 
	2801 	14048 	: 	0 	245.746 	; 
	2802 	1944 	: 	6395.88 	234.481 	; 
	2802 	3579 	: 	0 	inf 	; 
	2803 	4531 	: 	1803.33 	22.6048 	; 
	2803 	6481 	: 	0 	inf 	; 
	2803 	12633 	: 	0 	inf 	; 
	2803 	12634 	: 	1452.67 	120.747 	; 
	2804 	7923 	: 	0 	inf 	; 
	2804 	8019 	: 	7027.5 	9.30703 	; 
	2805 	532 	: 	0 	inf 	; 
	2805 	3695 	: 	14953.1 	177.943 	; 
	2806 	399 	: 	0 	inf 	; 
	2806 	2946 	: 	7978.67 	48.1777 	; 
	2806 	4221 	: 	0 	inf 	; 
	2806 	13823 	: 	0 	inf 	; 
	2806 	13824 	: 	120 	263.924 	; 
	2807 	4357 	: 	0 	inf 	; 
	2807 	5059 	: 	14953.1 	16.9636 	; 
	2808 	5452 	: 	0 	inf 	; 
	2808 	8804 	: 	0 	6.08086 	; 
	2809 	9664 	: 	7789.33 	28.5112 	; 
	2809 	9753 	: 	0 	inf 	; 
	2810 	7635 	: 	12528.1 	6.76193 	; 
	2810 	10893 	: 	0 	inf 	; 
	2811 	5370 	: 	0 	inf 	; 
	2811 	10019 	: 	2035.28 	42.3713 	; 
	2812 	218 	: 	0 	inf 	; 
	2812 	10089 	: 	6196 	63.9824 	; 
	2813 	328 	: 	0 	inf 	; 
	2813 	1098 	: 	6677.33 	41.4999 	; 
	2813 	13085 	: 	0 	inf 	; 
	2813 	13086 	: 	0 	105.93 	; 
	2814 	538 	: 	0 	inf 	; 
	2814 	2311 	: 	0 	inf 	; 
	2814 	10629 	: 	10472.6 	22.1927 	; 
	2815 	8816 	: 	0 	inf 	; 
	2815 	9508 	: 	15747.7 	3.07558 	; 
	2816 	31 	: 	0 	inf 	; 
	2816 	8812 	: 	10843.1 	1.65366 	; 
	2817 	1554 	: 	0 	7.97611 	; 
	2817 	8742 	: 	0 	inf 	; 
	2817 	12155 	: 	0 	inf 	; 
	2817 	12156 	: 	0 	137.809 	; 
	2818 	3846 	: 	14120.2 	67.987 	; 
	2818 	5841 	: 	0 	inf 	; 
	2818 	12507 	: 	0 	inf 	; 
	2818 	12508 	: 	0 	93.7545 	; 
	2819 	9596 	: 	0 	inf 	; 
	2819 	11044 	: 	8850 	4.27264 	; 
	2820 	5372 	: 	0 	inf 	; 
	2820 	7315 	: 	6057.33 	8.59525 	; 
	2821 	6859 	: 	0 	inf 	; 
	2821 	10707 	: 	5376.62 	299.228 	; 
	2822 	2177 	: 	12463.4 	2.11336 	; 
	2822 	5708 	: 	0 	inf 	; 
	2822 	9460 	: 	675.526 	10.4854 	; 
	2823 	8121 	: 	0 	inf 	; 
	2823 	10548 	: 	2994.09 	5.01591 	; 
	2824 	3634 	: 	0 	inf 	; 
	2824 	8347 	: 	14906 	22.5903 	; 
	2825 	4033 	: 	184 	3.14519 	; 
	2825 	9768 	: 	0 	inf 	; 
	2825 	12423 	: 	0 	inf 	; 
	2825 	12424 	: 	24.6667 	31.6193 	; 
	2826 	1233 	: 	0 	inf 	; 
	2826 	10423 	: 	13469.2 	20.3395 	; 
	2827 	2033 	: 	0 	inf 	; 
	2827 	7308 	: 	0 	46.0949 	; 
	2827 	10585 	: 	0 	inf 	; 
	2828 	7160 	: 	0 	inf 	; 
	2828 	9726 	: 	2663.54 	175.356 	; 
	2829 	2987 	: 	19182.5 	81.5495 	; 
	2829 	4597 	: 	0 	inf 	; 
	2829 	13365 	: 	0 	inf 	; 
	2829 	13366 	: 	10 	174.327 	; 
	2830 	2361 	: 	0 	inf 	; 
	2830 	6584 	: 	1384 	6.05601 	; 
	2831 	4386 	: 	0 	inf 	; 
	2831 	5257 	: 	2862 	6.22946 	; 
	2831 	11787 	: 	0 	inf 	; 
	2831 	11788 	: 	673.333 	78.0368 	; 
	2831 	11789 	: 	0 	inf 	; 
	2831 	11790 	: 	0 	82.5299 	; 
	2831 	11791 	: 	0 	inf 	; 
	2831 	11792 	: 	3.33333 	92.2446 	; 
	2832 	3538 	: 	0 	inf 	; 
	2832 	6340 	: 	17118.7 	126.464 	; 
	2832 	6591 	: 	0 	inf 	; 
	2833 	4845 	: 	0 	inf 	; 
	2833 	7410 	: 	0 	2.31319 	; 
	2834 	6774 	: 	4557.11 	1.77293 	; 
	2834 	10472 	: 	0 	inf 	; 
	2834 	13993 	: 	0 	inf 	; 
	2834 	13994 	: 	0 	177.266 	; 
	2834 	13995 	: 	0 	inf 	; 
	2834 	13996 	: 	0 	64.2792 	; 
	2834 	13997 	: 	0 	inf 	; 
	2834 	13998 	: 	0 	124.358 	; 
	2835 	2401 	: 	2386.25 	30.417 	; 
	2835 	6751 	: 	0 	inf 	; 
	2836 	1842 	: 	0 	inf 	; 
	2836 	4102 	: 	7104.67 	270.378 	; 
	2837 	980 	: 	2356 	37.9051 	; 
	2837 	5230 	: 	2331.97 	10.2764 	; 
	2837 	9773 	: 	0 	inf 	; 
	2838 	3621 	: 	2979.33 	3.37814 	; 
	2838 	3925 	: 	0 	inf 	; 
	2839 	1785 	: 	0 	inf 	; 
	2839 	10876 	: 	3884.08 	63.8325 	; 
	2840 	2304 	: 	0 	inf 	; 
	2840 	6858 	: 	2979.33 	80.3571 	; 
	2841 	6070 	: 	92 	15.4307 	; 
	2841 	9530 	: 	0 	inf 	; 
	2842 	4539 	: 	0 	inf 	; 
	2842 	11053 	: 	9377.28 	10.2279 	; 
	2843 	38 	: 	0 	inf 	; 
	2843 	6054 	: 	0 	0.845982 	; 
	2844 	10177 	: 	0 	inf 	; 
	2844 	11160 	: 	0 	31.6844 	; 
	2845 	3234 	: 	3308.67 	14.2668 	; 
	2845 	5087 	: 	0 	inf 	; 
	2846 	1591 	: 	0 	inf 	; 
	2846 	2100 	: 	3308.67 	11.2346 	; 
	2847 	38 	: 	0 	0.836718 	; 
	2847 	3027 	: 	0 	inf 	; 
	2848 	6406 	: 	8850 	8.53806 	; 
	2848 	7070 	: 	0 	inf 	; 
	2848 	12935 	: 	0 	inf 	; 
	2848 	12936 	: 	0 	105.813 	; 
	2849 	5426 	: 	0 	4.7699 	; 
	2850 	185 	: 	0 	inf 	; 
	2850 	1103 	: 	18633.9 	3.12058 	; 
	2850 	12097 	: 	0 	inf 	; 
	2850 	12098 	: 	53.3333 	77.175 	; 
	2850 	12129 	: 	0 	inf 	; 
	2850 	12130 	: 	979.333 	62.4463 	; 
	2851 	4379 	: 	5694.75 	17.9826 	; 
	2851 	8084 	: 	0 	inf 	; 
	2852 	7423 	: 	2463.9 	29.9691 	; 
	2852 	10333 	: 	14582 	67.5732 	; 
	2852 	10652 	: 	0 	inf 	; 
	2852 	12483 	: 	0 	inf 	; 
	2852 	12484 	: 	354 	175.938 	; 
	2852 	12543 	: 	0 	inf 	; 
	2852 	12544 	: 	56 	103.122 	; 
	2853 	2858 	: 	0 	4.16209 	; 
	2854 	1058 	: 	26681 	126.208 	; 
	2854 	8182 	: 	0 	inf 	; 
	2854 	13449 	: 	0 	inf 	; 
	2854 	13450 	: 	4.66667 	102.284 	; 
	2855 	10318 	: 	0 	inf 	; 
	2855 	10979 	: 	854 	11.5741 	; 
	2856 	6604 	: 	0 	5.38706 	; 
	2856 	8439 	: 	0 	inf 	; 
	2856 	8565 	: 	0 	inf 	; 
	2857 	4100 	: 	307.427 	10.3905 	; 
	2857 	7547 	: 	0 	inf 	; 
	2858 	2853 	: 	0 	4.16209 	; 
	2858 	10105 	: 	0 	5.21341 	; 
	2859 	794 	: 	0 	inf 	; 
	2859 	2705 	: 	4920.67 	2.79839 	; 
	2859 	2862 	: 	0 	inf 	; 
	2860 	2862 	: 	778 	3.95559 	; 
	2860 	5793 	: 	0 	inf 	; 
	2861 	3833 	: 	812.475 	12.2552 	; 
	2861 	4640 	: 	1352 	4.66263 	; 
	2861 	6992 	: 	0 	inf 	; 
	2862 	2859 	: 	778 	18.2654 	; 
	2862 	2860 	: 	0 	inf 	; 
	2863 	4862 	: 	2006.86 	20.3595 	; 
	2863 	5330 	: 	16171.2 	88.7752 	; 
	2863 	11127 	: 	0 	inf 	; 
	2863 	11991 	: 	0 	inf 	; 
	2863 	11992 	: 	142 	42.2991 	; 
	2864 	5849 	: 	0 	inf 	; 
	2864 	8443 	: 	3740.58 	10.2812 	; 
	2864 	13165 	: 	0 	inf 	; 
	2864 	13166 	: 	244 	221.112 	; 
	2864 	13179 	: 	0 	inf 	; 
	2864 	13180 	: 	185.333 	494.106 	; 
	2864 	13181 	: 	0 	inf 	; 
	2864 	13182 	: 	384 	414.569 	; 
	2865 	2681 	: 	0 	inf 	; 
	2865 	4642 	: 	12693.2 	8.71797 	; 
	2866 	9259 	: 	11282.8 	26.5406 	; 
	2866 	10329 	: 	0 	inf 	; 
	2867 	3284 	: 	0 	inf 	; 
	2867 	5310 	: 	5945.08 	18.7781 	; 
	2867 	6531 	: 	0 	inf 	; 
	2868 	1726 	: 	0 	1.71322 	; 
	2868 	6413 	: 	0 	inf 	; 
	2869 	6313 	: 	0 	inf 	; 
	2869 	11278 	: 	21743.4 	117.982 	; 
	2869 	11949 	: 	0 	inf 	; 
	2869 	11950 	: 	226 	68.0017 	; 
	2870 	1128 	: 	4526.67 	4.08766 	; 
	2870 	10331 	: 	0 	inf 	; 
	2870 	12627 	: 	0 	inf 	; 
	2870 	12628 	: 	476 	174.115 	; 
	2871 	1535 	: 	13188.5 	11.2417 	; 
	2871 	1538 	: 	0 	inf 	; 
	2872 	7492 	: 	0 	inf 	; 
	2872 	8597 	: 	6860.98 	8.6636 	; 
	2872 	12409 	: 	0 	inf 	; 
