OSM_INIT,OSM_TERM
110416649,110362319
4178892569,415194026
4178892560,415194040
689905678,65373679
689905678,65373679
65418230,4178818700
65418230,413802373
689554185,65416067
65400875,4178884541
413800437,413799997
413800437,413800440
4178798709,614140923
65482113,614140942
65482113,4178764790
65416076,3958687699
263620432,263645145
276571931,415194041
276571931,4178892559
110374262,263645116
4178892557,415194034
4178892556,1741128783
4178892554,34711402
4178892551,1514808468
4178892550,1514808460
4178892559,690717174
4178892558,690715247
4178843282,1407985649
690707691,614140942
4178798716,65482124
4178798717,614140947
615115440,4178791290
615115440,3053906686
4178764790,65373686
318560081,318560151
564663890,276571752
564663890,276571752
564663890,276571752
1390562781,885401685
689883267,415168411
1914784118,276571244
689940014,689936963
689940014,4178722997
648467515,415168459
65487139,4184029230
340645005,615115441
1189785978,4178798709
415165882,340644746
415165882,615115405
4178722997,65518197
4178722996,65439822
4178722998,615115423
610809028,610809020
610809020,110374262
1407985670,1407985684
415194026,65418211
415194026,690700726
415165929,4178718981
69396594,65373679
69396594,65373679
69396594,65373679
69396594,259586114
614140912,614140913
256997233,33220315
256997233,33220315
256997233,33220315
415168193,4178818708
276566342,4178818699
65393447,413799997
368397122,368396991
65417636,415168665
689949771,4178772851
4178791292,4178791289
4178791293,415186578
689937249,614140951
415165881,4178718977
415165881,415165882
1390562805,65397435
4178892566,4178892565
4178892567,415194028
4178892564,1476573891
4178892565,4178892562
4178892562,65418216
4178892563,4178892564
4178892561,415194041
65373686,36226022
65373686,614140939
239450395,239443554
239450395,239443554
239450395,239443554
65424549,4178798721
564663737,65471603
65397289,3958687697
3958687697,65397289
65397289,65471588
65471588,65397289
65374068,2636283294
2636283294,65374068
65374068,2636283294
2636283294,65374068
564637572,4184235059
4184235059,564637572
564637572,564637561
564637561,564637572
323495342,323494789
323494789,323495342
65471581,65471572
65471572,65471581
65471581,448837786
448837786,65471581
65543327,1390574940
1390574940,65543327
65543327,1390574940
1390574940,65543327
65543327,1390574940
1390574940,65543327
65543327,1390574940
1390574940,65543327
65543327,1390574940
1390574940,65543327
65543328,65511472
65511472,65543328
65543328,65511472
65511472,65543328
65543328,65511472
65511472,65543328
65543328,65511472
65511472,65543328
65543328,65511472
65511472,65543328
65543328,65511472
65511472,65543328
3958687698,65416080
65416080,3958687698
3958687698,65416076
65416076,3958687698
3958687697,4113787730
4113787730,3958687697
3958687692,65471603
65471603,3958687692
3958687692,4184235054
4184235054,3958687692
316650116,65677342
65677342,316650116
316650116,1390574979
1390574979,316650116
110396167,110396163
110396163,110396167
110396167,110396163
110396163,110396167
689936963,4178750070
4178750070,689936963
614141010,4178772852
4178772852,614141010
65470499,65471572
65471572,65470499
2636283294,65388464
65388464,2636283294
262256877,262256894
262256894,262256877
262256877,262256894
262256894,262256877
262256877,65416082
65416082,262256877
262256877,4184235059
4184235059,262256877
262256877,4184235059
4184235059,262256877
262256877,415279645
415279645,262256877
65393013,4178692271
4178692271,65393013
448837786,65471588
65471588,448837786
65388464,4178772852
4178772852,65388464
4184235054,4184235055
4184235055,4184235054
4184235055,4178918794
4178918794,4184235055
56024577,56144664
56144664,56024577
4178750070,4178750069
4178750069,4178750070
1390574940,323494789
323494789,1390574940
318560252,110350537
110350537,318560252
318560252,110350537
110350537,318560252
318560252,110350537
110350537,318560252
4178918794,65459133
65459133,4178918794
4178918795,65459133
65459133,4178918795
4178918795,564637561
564637561,4178918795
65471594,2976984409
2976984409,65471594
65471594,4113787730
4113787730,65471594
415173903,689937249
689937249,415173903
415173903,65382476
65382476,415173903
65514293,3886039812
3886039812,65514293
65514293,885401685
885401685,65514293
3886039816,4184021449
4184021449,3886039816
3886039816,885401685
885401685,3886039816
3886039812,1390574979
1390574979,3886039812
65471572,4178692271
4178692271,65471572
686229392,3974577714
3974577714,686229392
4184021449,120592723
120592723,4184021449
2976984409,415279645
415279645,2976984409
4178750069,689937249
689937249,4178750069
